,Unnamed: 0,设备编号,资产编号,设备名称,设备型号,设备规格,制造厂,出厂年月,使用部门,安装地点,立卡年月,启用年月,ABC分类,财务分类,原值(元),完好状态,当前管理状态,状态变动日期,使用年限(年),供货商,出厂编号,单价(元),设备属性,生产用途,责任人,备注
876,,5807031,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2017-03,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200036,12500.0,设备,生产,,
877,,5807030,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200020,12500.0,设备,生产,,
878,,5807029,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200108,12500.0,设备,生产,,
879,,5807028,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200089,12500.0,设备,生产,,
880,,5807027,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200091,12500.0,设备,生产,,
881,,5807026,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200092,12500.0,设备,生产,,
882,,5807025,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z030005152600004,12500.0,设备,生产,,
883,,5807024,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z08003215320075,12500.0,设备,生产,,
884,,5807023,,全数字IGBT逆变焊机,EHAVE-CM500,30-500A  22.3KVA,深圳麦格米特电气股份有限公司,2016-02,赤壁子公司,产业园,2016-09,2016-09,B,焊接设备,12500.0,完好,在用, ,10,湖北浩德商贸有限公司,Z080032153200,12500.0,设备,生产,,
885,,0501015,,半自动立式钻床,Z5180C,Φ80,宁夏银川大河数控机床有限公司,2016-03,赤壁子公司,产业园01,2016-09,2016-09,B,机械设备,78500.0,完好,在用, ,12,湖北伟瑞正一,Y214128,78500.0,设备,生产,,
886,,0501014,,半自动立式钻床,Z5180C,Φ80,宁夏银川大河数控机床有限公司,2016-03,赤壁子公司,产业园01,2016-09,2016-09,B,机械设备,78500.0,完好,在用, ,12,湖北伟瑞正一,Y214143,78500.0,设备,生产,,
887,,0501013,,半自动立式钻床,Z5180C,Φ80,宁夏银川大河数控机床有限公司,2016-03,赤壁子公司,产业园01,2016-09,2016-09,B,机械设备,78500.0,完好,在用, ,12,湖北伟瑞正一,Y214127,78500.0,设备,生产,,
888,,0501012,,半自动立式钻床,Z5180C,Φ80,宁夏银川大河数控机床有限公司,2016-03,赤壁子公司,产业园01,2016-09,2016-09,B,机械设备,78500.0,完好,在用, ,12,湖北伟瑞正一,Y214147,78500.0,设备,生产,,
905,,1609006,,电液数控折弯机,PBA-400/4100,4000KN*4100,江苏亚威机床股份有限公司,2015-12,赤壁子公司,101,2016-09,2016-08,B,机械设备,575000.0,完好,在用, ,12,湖北睿帆天际贸易有限公司,PBA07051512047,575000.0,设备,生产,,
906,,1501009,,液压数控剪板机,HGOK25/6,6×2500,湖北三环（黄石）锻压设备有限公司,2016-12,赤壁子公司,101,2016-09,2016-08,B,机械设备,143000.0,完好,在用, ,12,湖北伟瑞正一科技发展有限公司,162010073,143000.0,设备,生产,,技改2016-6
907,,1501008,,液压数控剪板机,HGSK25/20,20×2500,湖北三环（黄石）锻压设备有限公司,2016-12,赤壁子公司,101,2016-09,2016-08,B,机械设备,375000.0,完好,在用, ,12,湖北伟瑞正一科技发展有限公司,16201019,375000.0,设备,生产,,技改2016-7
915,,9313032,,复印机,FS-6525MFP,A3,京瓷办公设备科技（东莞）有限公司,2015-11,赤壁子公司,产业园资料室,2016-11,2016-07,C,电视机、复印机、文字处理机,8500.0,完好,在用, ,5,赤壁市春天,L2W5Y43220,8500.0,设备,非生产,,
916,,5601687,,台式电脑,启天M4550-N000,,联想,2016-06,赤壁子公司,张军,2016-10,2016-07,C,电子计算机,3850.0,完好,在用, ,5,联拓,P5035XVP,3850.0,设备,非生产,,
917,,4602037,,移动式空压机,W-1.2/8,1.2m3/min  0.8mpa,武汉鑫山空气压缩机制造有限公司,2016-07,赤壁子公司,产业园01车间,2016-11,2016-07,C,动力设备,6000.0,完好,在用, ,10,湖北伟瑞正一,160717,6000.0,设备,生产,,
918,,4509153,,柜式空调,KFR-50W/NHF05-3,2P,格力,2015-10,赤壁子公司,特桥焊条库,2016-10,2016-07,C,动力设备,4900.0,完好,在用, ,10,春天,5091090016715,4900.0,设备,非生产,,
919,,4509152,,柜式空调,KFR-50W/NHF05-3,2P,格力,2015-10,赤壁子公司,特桥焊条库,2016-10,2016-07,C,动力设备,4900.0,完好,在用, ,10,春天,5091090017414,4900.0,设备,非生产,,
930,,9399016,,气动打标机,PEQD030,,武汉嘉信激光有限公司,2015-01,赤壁子公司,,2016-07,2016-06,C,电视机、复印机、文字处理机,13000.0,完好,在用, ,3,湖北浩德商贸有限公司,20160510,13000.0,设备,生产,,
931,,9002010,,除尘式砂轮机,M3340,￠400,上海砂轮机有限公司,2016-02,赤壁子公司,产业园01车间,2016-07,2016-06,C,其他专用设备,9600.0,完好,在用, ,5,湖北浩德商贸有限公司,098,9600.0,设备,生产,,
932,,7199055,,洛式硬度计,HR-150A,,莱州华银试验仪器有限公司,2016-05,赤壁子公司,,2016-09,2016-06,C,电子仪表电讯工业专用设备,0.0,完好,在用, ,5,,353,0.0,设备,生产,,"初试验力10kg，2%
总试验力150kg  允差1%
被测试件最大高度200"
933,,5829022,,多头火焰切割机,HQ系列,6000,常州华强焊割设备有限公司,2013-08,赤壁子公司,产业园01车间,2016-11,2016-06,C,自动化、半自动化控制设备,57000.0,完好,在用, ,8,湖北奥托福数控技术设备有限公司,130823904,57000.0,设备,生产,,5812005（多头门架焊接系统）改造成，由湖北万泰宏改造
934,,5829021,,数控等离子切割机,OMNIMAT T,（6-200）×6000,梅塞尔切割焊接（中国）有限公司,2015-10,赤壁子公司,产业园01车间,2016-09,2016-06,A,自动化、半自动化控制设备,1180000.0,完好,在用, ,10,黄石蓝凯商贸有限公司,102073,1180000.0,设备,生产,,5829021-01高效烟尘净化器
935,,2606003,,电动平车,KPD,20T,河南高盛起重机械有限公司,2016-02,赤壁子公司,产业园01车间,2016-07,2016-06,C,运输设备,186000.0,完好,在用, ,10,河南矿山起重机有限公司,GD16027,186000.0,设备,生产,,
936,,2606002,,电动平车,KPD,20T,河南高盛起重机械有限公司,2016-02,赤壁子公司,产业园01车间,2016-07,2016-06,C,运输设备,186000.0,完好,在用, ,10,河南矿山起重机有限公司,GD16026,186000.0,设备,生产,,
937,,2606001,,电动平车,KPD,20T,河南高盛起重机械有限公司,2016-02,赤壁子公司,产业园01车间,2016-07,2016-06,C,运输设备,186000.0,完好,在用, ,10,河南矿山起重机有限公司,GD16025,186000.0,设备,生产,,
938,,1303007,,单柱油压机,YZ-315,315T,一重科技（江苏）股份有限公司,2016-03,赤壁子公司,产业园01,2016-09,2016-06,B,机械设备,579000.0,完好,在用, ,12,武汉环瑞机电设备有限公司,1607,579000.0,设备,生产,,
939,,0501017,,半自动立式钻床,Z5180B,Φ80,宁夏中卫大河机床有限公司,2015-08,赤壁子公司,产业园01车间,2016-12,2016-06,B,机械设备,79800.0,完好,在用, ,10,武汉环瑞机电设备有限公司,15041,79800.0,设备,生产,,
940,,0501016,,半自动立式钻床,Z5180B,Φ80,宁夏中卫大河机床有限公司,2015-08,赤壁子公司,产业园01车间,2016-12,2016-06,B,机械设备,79800.0,完好,在用, ,12,,,79800.0,设备,生产,,
944,,9399017,,气动打标机,PEQD030,,武汉嘉信激光有限公司,2015-01,赤壁子公司,,2016-07,2016-06,C,电视机、复印机、文字处理机,13000.0,完好,在用, ,3,湖北浩德商贸有限公司,20160513,13000.0,设备,生产,,
945,,7999059,,气体浓度检测仪,JA908,,Hazradous Localinons,2015-12,赤壁子公司,,2016-07,2016-06,C,其他专用设备,35300.0,完好,在用, ,5,黄石蓝凯,2016042X103,35300.0,设备,非生产,,
951,,1609005,,电液数控折弯机,WEH-250/3100,250T×3100,江苏亚威机床股份有限公司,2016-02,赤壁子公司,产业园01车间,2016-05,2016-05,B,机械设备,325000.0,完好,在用, ,14,武汉晋泉贸易有限公司,WEH0A0416011008,325000.0,设备,生产,,
952,,1609004,,电液数控折弯机,PBA-630/6200-4,630T×6200,江苏亚威机床股份有限公司,2016-02,赤壁子公司,产业园01车间,2016-05,2016-05,A,机械设备,997000.0,完好,在用, ,14,武汉晋泉贸易有限公司,PBA090716021005,997000.0,设备,生产,,
953,,1506004,,机械联合冲剪机,QA34-25,冲孔Φ25,江苏中海重型机床有限公司,2016-03,赤壁子公司,产业园01号车间,2016-05,2016-05,B,机械设备,188000.0,完好,封存,2020-08-27,14,武汉环瑞机电设备有限公司,1602028,188000.0,设备,生产,,
954,,1401008,,开式固定台压力机,JH21-200B,200T,江苏扬力集团有限公司,2016-01,赤壁子公司,产业园01号车间,2016-05,2016-05,B,机械设备,285000.0,完好,在用, ,14,武汉环瑞机电设备有限公司,1715255,285000.0,设备,生产,,
955,,1401007,,开式固定台压力机,JH21-110,110T,江苏扬力集团有限公司,2016-01,赤壁子公司,产业园01号车间,2016-05,2016-05,B,机械设备,190000.0,完好,在用, ,14,武汉环瑞机电设备有限公司,1415554,190000.0,设备,生产,,
956,,0501011,,半自动立式钻床,Z5180,Φ80,宁夏中卫大河机床有限公司,2015-08,赤壁子公司,产业园01车间,2016-05,2016-05,B,机械设备,7980.0,完好,在用, ,12,武汉环瑞机电设备有限公司,15034,7980.0,设备,生产,,
957,,0501010,,半自动立式钻床,Z5180,Φ80,宁夏中卫大河机床有限公司,2015-08,赤壁子公司,产业园01车间,2016-05,2016-05,B,机械设备,7980.0,完好,在用, ,12,武汉环瑞机电设备有限公司,15038,7980.0,设备,生产,,
958,,0299002,,铣边机,XBJ-12M,（6-100）×1200,无锡市华庄铣边机厂,2016-01,赤壁子公司,产业园01车间,2016-05,2016-05,A,机械设备,342800.0,完好,在用, ,14,湖北伟瑞正一科技发展有限公司,160102,342800.0,设备,生产,,
959,,9006008,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,武汉帧明机电设备有限公司,20160519006,7800.0,设备,非生产,,环保
960,,9006007,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,,20160519005,7800.0,设备,非生产,,环保
961,,9006006,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,,20160519004,7800.0,设备,非生产,,环保
962,,9006005,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,,20160519003,7800.0,设备,非生产,,环保
963,,9006004,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,,20160519002,7800.0,设备,非生产,,环保
964,,9006003,,工业吸尘器,PSB-22,,广州普华环保设备有限公司,2016-05,赤壁子公司,,2016-09,2016-05,C,其他专用设备,7800.0,完好,在用, ,5,,20160519001,7800.0,设备,非生产,,环保
965,,8699020,,激光经纬仪,LT402L,,苏州一光仪器有限公司,2015-12,赤壁子公司,,2016-08,2016-05,C,电子仪表电讯工业专用设备,11100.0,完好,在用, ,5,黄石蓝凯工贸有限公司,33S03408,11100.0,设备,生产,,
966,,2101052,,桥式起重机,QD10/5-16.5 A6,10/5T×16.5×9,河南省矿山起重机有限公司,2016-03,赤壁子公司,101,2016-08,2016-05,C,机械设备,278000.0,完好,在用, ,12,,160220035,278000.0,设备,生产,,
981,,5606055,,笔记本电脑,700S,,联想,2016-03,赤壁子公司,安环处/张建军,2016-07,2016-04,C,电子计算机,5143.0,完好,在用, ,5,赤壁市春天,MP1299L9,5143.0,设备,非生产,,
982,,4509166,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,6341661035295,5000.0,设备,非生产,,
983,,4509165,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,6341661034715,5000.0,设备,非生产,,
984,,4509164,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0650,5000.0,设备,非生产,,
985,,4509163,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0015,5000.0,设备,非生产,,
986,,4509162,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0047,5000.0,设备,非生产,,
987,,4509161,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0817,5000.0,设备,非生产,,
988,,4509160,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0894,5000.0,设备,非生产,,
989,,4509159,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0013,5000.0,设备,非生产,,
990,,4509158,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0460,5000.0,设备,非生产,,
991,,4509157,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0464,5000.0,设备,非生产,,
992,,4509156,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0020,5000.0,设备,非生产,,
993,,4509155,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0044,5000.0,设备,非生产,,
994,,4509154,,柜式空调,KFR-72LW/DY,3P,美的, ,赤壁子公司,1号车间旁办公楼,2016-11,2016-04,C,动力设备,5000.0,完好,在用, ,10,春天,0803a0291,5000.0,设备,非生产,,
1005,,4603012,,螺杆式空压机,30A,3.2m3/min  1.0MPa,上海德励压缩机有限公司,2016-03,赤壁子公司,101,2016-09,2016-04,C,动力设备,26300.0,完好,在用, ,10,湖北万泰宏商贸有限公司,796-30TJ-010110J,26300.0,设备,生产,,出厂编号160300796-30TJ-010110J
1009,,5601675,,台式电脑,扬天T4900c-00,,联想,2016-01,赤壁子公司,万慧芳,2016-09,2016-03,C,电子计算机,3960.0,完好,在用, ,5,赤壁春天,M7017ZGL,3960.0,设备,非生产,,
1010,,1613006,,圆钢弯管机,DW-50,Φ50,江苏宏帆机械制造有限公司,2016-02,赤壁子公司,产业园004南跨,2016-05,2016-03,C,机械设备,98700.0,完好,在用, ,10,武汉环瑞机电设备有限公司,HF20160302001,98700.0,设备,生产,,
1011,,5601678,,台式电脑,扬天T4900C-00,,联想,2016-01,赤壁子公司,,2016-09,2016-03,C,电子计算机,3960.0,完好,在用, ,5,赤壁春天,M700RFGL,3960.0,设备,非生产,,
1012,,5601677,,台式电脑,扬天T4900C-00,,联想,2016-01,赤壁子公司,,2016-09,2016-03,C,电子计算机,3960.0,完好,在用, ,5,赤壁春天,M700RFGQ,3960.0,设备,非生产,,
1013,,5601676,,台式电脑,扬天T4900C-00,,联想,2016-01,赤壁子公司,,2016-09,2016-03,C,电子计算机,3960.0,完好,在用, ,5,赤壁春天,M700RFGT,3960.0,设备,非生产,,
1018,,5601662,,台式电脑,扬天T4900V-00,I5-4590/4G/500G,联想,2015-07,赤壁子公司,,2016-03,2016-01,C,电子计算机,5460.0,完好,在用, ,5,赤壁市春天信息产业有限责任公司,SS26674603,5460.0,设备,非生产,,
1019,,2103014,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156090244,114666.7,设备,生产,,
1020,,2103013,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156090243,114666.7,设备,生产,,
1021,,2103012,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156080644,114666.7,设备,生产,,
1022,,2103011,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156080643,114666.7,设备,生产,,
1023,,2103010,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156080642,114666.7,设备,生产,,
1024,,2103009,,电动葫芦门式起重机,BMHN3-10 A5,3t×10m,纽科伦（新乡）起重机有限公司,2015-09,赤壁子公司,产业园01车间,2016-06,2016-01,B,运输设备,114666.7,完好,在用, ,12,纽科伦（新乡）起重机有限公司,156080641,114666.7,设备,生产,,
1025,,2102055,,欧式单梁起重机,ELK10-22.5×9-A5,10t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园01车间南跨中,2016-06,2016-01,B,运输设备,165400.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2823-3,165400.0,设备,生产,,
1026,,2102054,,欧式单梁起重机,ELK10-22.5×9-A5,10t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园01车间北跨西,2016-06,2016-01,B,运输设备,165400.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2823-2,165400.0,设备,生产,,
1027,,2102053,,欧式单梁起重机,ELK10-22.5×9-A5,10t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园01车间中跨西,2016-06,2016-01,B,运输设备,165400.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2823-1,165400.0,设备,生产,,
1028,,2102052,,欧式单梁起重机,ELK10-22.5×9-A5,10t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园01车间南跨西,2016-06,2016-01,B,运输设备,165400.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2823,165400.0,设备,生产,,
1029,,2102051,,欧式单梁起重机,ELK5-22.5×9 A5,5t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园006车间,2016-06,2016-01,B,运输设备,116300.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2822-1,116300.0,设备,生产,,
1030,,2102050,,欧式单梁起重机,ELK5-22.5×9 A5,5t×22.5m,洛阳卡瑞起重设备有限公司,2015-06,赤壁子公司,产业园06车间南跨东,2016-06,2016-01,B,运输设备,116300.0,完好,在用, ,12,武汉瑞琪经济发展有限公司,2015D-2822,116300.0,设备,生产,,
1042,,2101050,,双梁桥式起重机,QD20/5-22.5,20/5×22.5,河南矿山起重机有限公司,2015-08,赤壁子公司,产业园001车间北跨东,2015-12,2015-12,B,机械设备,391200.0,完好,在用, ,14,,15042101,391200.0,设备,生产,,
1043,,2101049,,双梁桥式起重机,QD20/5-22.5,20/5×22.5,河南矿山起重机有限公司,2015-08,赤壁子公司,产业园001车间中跨东,2015-12,2015-12,B,机械设备,391200.0,完好,在用, ,14,,15042100,391200.0,设备,生产,,
1044,,2101048,,双梁桥式起重机,QD20/5-22.5,20/5×22.5,河南矿山起重机有限公司,2015-08,赤壁子公司,产业园001南跨东,2015-12,2015-12,B,机械设备,391200.0,完好,在用, ,14,,15042099,391200.0,设备,生产,,
1045,,1501007,资料未全,数控液压剪板机,HGSK25/20,20×2500,黄石锻压设备有限公司,2015-10,赤壁子公司,赤壁产业园001车间,2015-12,2015-12,B,机械设备,432800.0,完好,在用, ,14,湖北万泰宏商贸有限公司,152010414,432800.0,设备,生产,,技改2013-3
1046,,0515002,,移动式三面数控钻床,BD1208A/3,Ф50、1250×800,山东法因数控机械股份有限公司, ,赤壁子公司,赤壁产业园,2016-02,2015-12,C,机械设备,0.0,完好,在用, ,12,,,0.0,设备,生产,,
1047,,0006009,,卧式带锯机,GD4028,Φ280,浙江得力机床有限公司,2015-10,赤壁子公司,赤壁产业园001车间,2015-12,2015-12,B,机械设备,54200.0,完好,在用, ,14,武汉环瑞机电设备有限公司,1001,54200.0,设备,生产,,
1052,,5808019,,逆变脉冲氩弧焊机,MGA-1250,,山东山大奥太电气有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,88000.0,完好,在用, ,10,浩德,,88000.0,设备,生产,,TDN-5000M
1053,,5807022,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,10,湖北浩德商贸有限公司,1508570S,11800.0,设备,生产,,
1054,,5807021,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1508640S,11800.0,设备,生产,,
1055,,5807020,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1508610S,11800.0,设备,生产,,
1056,,5807019,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1508580S,11800.0,设备,生产,,
1057,,5807018,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1508600S,11800.0,设备,生产,,
1058,,5807017,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1505980S,11800.0,设备,生产,,
1059,,5807016,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,15059900S,11800.0,设备,生产,,
1060,,5807015,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,1505990S,11800.0,设备,生产,,
1061,,5807014,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,12,湖北浩德商贸有限公司,15051000S,11800.0,设备,生产,,
1062,,5807013,,CO2气体保护焊机,NB-500,,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-12,B,焊接设备,11800.0,完好,在用, ,10,湖北浩德商贸有限公司,1505910S,11800.0,设备,生产,,
1063,,5804505,,双电源交直流焊机,ZX7-400E,220/380V-400,深圳市佳士科技股份有限公司,2015-04,赤壁子公司,下料分厂,2015-12,2015-12,B,焊接设备,5500.0,完好,在用, ,12,浩德,461960580,5500.0,设备,生产,,
1064,,5509058,,无气喷漆机,A6528K,,上海特兰森涂装机械有限公司,2015-11,赤壁子公司,涂装分厂,2015-12,2015-12,C,其他专用设备,13000.0,完好,在用, ,5,浩德,1511-02,13000.0,设备,生产,,
1065,,5509057,,无气喷漆机,A6528K,,上海特兰森涂装机械有限公司,2015-11,赤壁子公司,涂装分厂,2015-12,2015-12,B,其他专用设备,13000.0,完好,在用, ,5,浩德,1511-01,13000.0,设备,生产,,
1066,,4511008,,空气干燥机,GDL-20,,坝里压缩机械（上海）有限公司,2015-11,赤壁子公司,,2015-12,2015-12,C,动力设备,35000.0,完好,在用, ,12,湖北浩德商贸有限公司,2015118,35000.0,设备,生产,,
1070,,8699018,,经纬仪,LT402L,,苏州一光仪器有限公司,2015-08,赤壁子公司,,2015-12,2015-11,C,电子仪表电讯工业专用设备,9150.0,完好,在用, ,5,黄石蓝凯,33S02409,9150.0,设备,生产,,
1071,,5804506,,气刨机,ZX7-630(PE52-630),,北京时代科技股份有限公司,2015-09,赤壁子公司,,2015-12,2015-11,B,焊接设备,12300.0,完好,在用, ,12,浩德,1506620,12300.0,设备,生产,,
1079,,7904015,,测厚仪,MX3,,USA DAKOTA,2015-07,赤壁子公司,,2016-02,2015-10,C,电子仪表电讯工业专用设备,15930.0,完好,在用, ,5,黄石蓝凯工贸有限公司,44278,15930.0,设备,生产,谌玉梅,
1091,,9313027,,打印复印一体机,MP2001L,,理光（深圳）工业发展有限公司,2014-06,赤壁子公司,,2016-02,2015-09,C,电视机、复印机、文字处理机,11910.0,完好,在用, ,5,赤壁赤诚科技,E344M630457,11910.0,设备,非生产,,
1092,,5601648,,台式电脑,启天M4360-N000,i5-3470/8G/1T/19.5寸,联想,2015-05,赤壁子公司,,2015-09,2015-09,C,电子计算机,0.0,完好,在用, ,5,联拓,P5012JTD,0.0,设备,非生产,,
1093,,9313026,,打印复印一体机,HR1500,,夏普公司,2014-06,赤壁子公司,,2016-02,2015-09,C,电视机、复印机、文字处理机,11910.0,完好,在用, ,5,,E344M630214,11910.0,设备,非生产,,
1129,,5804225,,手工焊机,ZX7-400,,北京时代科技股份有限公司,2015-01,赤壁子公司,,2015-06,2015-05,B,焊接设备,4990.0,完好,在用, ,12,湖北浩德商贸有限公司,14071980C,4990.0,设备,生产,,
